transaction_id,vendor_id,gl_account_id,transaction_date,amount,description,invoice_number,payment_terms
HT10036,V014,GL5230,2024-06-10,1850.00,Data Backup Services,BKP-JUN24,Net 30
HT10037,V015,GL5630,2024-06-12,1645.75,Printing Services,PRINT-0624,Net 15
HT10038,V016,GL7130,2024-06-14,875.30,Courier Services,COUR-JUN24,Net 15
HT10039,V017,GL5520,2024-06-15,345.00,Document Destruction Services,SHRED-0624,Net 30
HT10040,V018,GL7220,2024-06-22,2150.00,Catering for Client Event,CATER-0622,Net 15
HT10041,V019,GL4520,2024-06-20,1250.00,Landscaping Maintenance,LAND-JUN24,Net 30
HT10042,V020,GL6330,2024-06-15,2750.00,Employee Benefits Administration,BEN-JUN24,Net 45
HT10043,V022,GL5210,2024-06-21,3250.00,Cloud Infrastructure Services,CLOUD-0624,Net 30
HT10044,V023,GL6530,2024-06-28,3750.00,Recruitment Services - Developer,REC-0624-01,Net 45
HT10045,V024,GL6300,2024-06-30,6500.00,Quality Testing Services - Q2,QA-Q224,Net 30
HT10046,V025,GL4520,2024-06-10,2100.00,Building Management System,BMS-JUN24,Net 30
HT10047,V026,GL6410,2024-06-25,8500.00,Executive Training Program - Q2,TRAIN-Q224,Net 45
HT10048,V027,GL5120,2024-06-12,1750.00,Renewable Energy Services,RENW-JUN24,Net 21
HT10049,V028,GL5620,2024-06-14,875.00,Coffee and Beverage Service,COF-JUN24,Net 15
HT10050,V029,GL4530,2024-06-16,1950.00,Security Monitoring Services,SEC-JUN24,Net 30
HT10051,V030,GL5220,2024-06-18,2850.00,Network Management Services,NET-JUN24,Net 15
HT10052,V001,GL4500,2024-07-14,4250.00,Monthly Office Lease,INV-LEASE-0724,Net 30
HT10053,V002,GL5200,2024-07-16,3875.25,IT Managed Services,MSP-2024-07,Net 15
HT10054,V003,GL5300,2024-07-20,1250.00,Accounting Software Subscription,ACCT-SUB-0724,Net 30
HT10055,V005,GL5100,2024-07-23,4680.90,Utilities - Electricity,ELEC-07-2024,Net 21
HT10056,V006,GL5110,2024-07-23,1950.25,Utilities - Water,WATER-07-2024,Net 21
HT10057,V007,GL5400,2024-07-22,7500.00,Marketing Agency Services,MKT-JUL24,Net 30
HT10058,V008,GL5500,2024-07-25,2340.00,Cleaning Services,CLEAN-0724,Net 15
HT10059,V012,GL5700,2024-07-28,5400.00,Equipment Maintenance,MAINT-JUL24,Net 30
HT10060,V010,GL5250,2024-07-29,1875.30,Internet Services,NET-JUL-24,Net 15
HT10061,V014,GL5230,2024-07-10,1850.00,Data Backup Services,BKP-JUL24,Net 30
HT10062,V015,GL5630,2024-07-12,1320.45,Printing Services,PRINT-0724,Net 15
HT10063,V016,GL7130,2024-07-14,1050.80,Courier Services,COUR-JUL24,Net 15
HT10064,V017,GL5520,2024-07-15,345.00,Document Destruction Services,SHRED-0724,Net 30
HT10065,V018,GL7220,2024-07-19,1850.00,Catering for Company Picnic,CATER-0719,Net 15
HT10066,V019,GL4520,2024-07-20,1250.00,Landscaping Maintenance,LAND-JUL24,Net 30
HT10067,V020,GL6330,2024-07-15,2750.00,Employee Benefits Administration,BEN-JUL24,Net 45
HT10068,V022,GL5210,2024-07-21,3250.00,Cloud Infrastructure Services,CLOUD-0724,Net 30
HT10069,V023,GL6530,2024-07-26,2250.00,Recruitment Services - Finance Analyst,REC-0724-01,Net 45
HT10070,V025,GL4520,2024-07-10,2100.00,Building Management System,BMS-JUL24,Net 30
HT10071,V027,GL5120,2024-07-12,1750.00,Renewable Energy Services,RENW-JUL24,Net 21
HT10072,V028,GL5620,2024-07-14,875.00,Coffee and Beverage Service,COF-JUL24,Net 15
HT10073,V029,GL4530,2024-07-16,1950.00,Security Monitoring Services,SEC-JUL24,Net 30
HT10074,V030,GL5220,2024-07-18,2850.00,Network Management Services,NET-JUL24,Net 15
HT10075,V004,GL6120,2024-07-25,4250.00,Legal Services - Patent Review,LS-2407-01,Net 45
HT10076,V001,GL4500,2024-08-15,4250.00,Monthly Office Lease,INV-LEASE-0824,Net 30
HT10077,V002,GL5200,2024-08-18,3875.25,IT Managed Services,MSP-2024-08,Net 15
HT10078,V003,GL5300,2024-08-19,1250.00,Accounting Software Subscription,ACCT-SUB-0824,Net 30
HT10079,V004,GL6100,2024-08-20,4120.00,Legal Services - Patent Filing,LS-2408-01,Net 45
HT10080,V005,GL5100,2024-08-22,4890.50,Utilities - Electricity,ELEC-08-2024,Net 21
HT10081,V006,GL5110,2024-08-22,1980.75,Utilities - Water,WATER-08-2024,Net 21
HT10082,V007,GL5400,2024-08-23,7500.00,Marketing Agency Services,MKT-AUG24,Net 30
HT10083,V008,GL5500,2024-08-25,2340.00,Cleaning Services,CLEAN-0824,Net 15
HT10084,V010,GL5250,2024-08-28,1875.30,Internet Services,NET-AUG-24,Net 15
HT10085,V003,GL6200,2024-08-31,9500.00,Quarterly Audit Services,AUDIT-2024-2,Net 30
HT10086,V014,GL5230,2024-08-10,1850.00,Data Backup Services,BKP-AUG24,Net 30
HT10087,V015,GL5630,2024-08-12,1520.50,Printing Services,PRINT-0824,Net 15
HT10088,V016,GL7130,2024-08-14,920.75,Courier Services,COUR-AUG24,Net 15
HT10089,V017,GL5520,2024-08-15,345.00,Document Destruction Services,SHRED-0824,Net 30
HT10090,V019,GL4520,2024-08-20,1250.00,Landscaping Maintenance,LAND-AUG24,Net 30
HT10091,V020,GL6330,2024-08-15,2750.00,Employee Benefits Administration,BEN-AUG24,Net 45
HT10092,V021,GL5710,2024-08-17,1875.00,Office Furniture Maintenance - Q3,FURN-Q324,Net 30
HT10093,V022,GL5210,2024-08-21,3250.00,Cloud Infrastructure Services,CLOUD-0824,Net 30
HT10094,V025,GL4520,2024-08-10,2100.00,Building Management System,BMS-AUG24,Net 30
HT10095,V027,GL5120,2024-08-12,1750.00,Renewable Energy Services,RENW-AUG24,Net 21
HT10096,V028,GL5620,2024-08-14,875.00,Coffee and Beverage Service,COF-AUG24,Net 15
HT10097,V029,GL4530,2024-08-16,1950.00,Security Monitoring Services,SEC-AUG24,Net 30
HT10098,V030,GL5220,2024-08-18,2850.00,Network Management Services,NET-AUG24,Net 15
HT10099,V011,GL5610,2024-08-26,1450.00,Stationery Order,STAT-0824,Net 30
HT10100,V018,GL7220,2024-08-29,1950.00,Catering for Department Meeting,CATER-0829,Net 15
HT10101,V001,GL4500,2024-09-14,4250.00,Monthly Office Lease,INV-LEASE-0924,Net 30
HT10102,V002,GL5200,2024-09-17,3875.25,IT Managed Services,MSP-2024-09,Net 15
HT10103,V003,GL5300,2024-09-19,1250.00,Accounting Software Subscription,ACCT-SUB-0924,Net 30
HT10104,V005,GL5100,2024-09-21,4650.30,Utilities - Electricity,ELEC-09-2024,Net 21
HT10105,V006,GL5110,2024-09-21,1935.50,Utilities - Water,WATER-09-2024,Net 21
HT10106,V007,GL5400,2024-09-22,7500.00,Marketing Agency Services,MKT-SEP24,Net 30
HT10107,V008,GL5500,2024-09-24,2340.00,Cleaning Services,CLEAN-0924,Net 15
HT10108,V011,GL5600,2024-09-26,1850.00,Office Supplies,OFF-SUP-SEP24,Net 30
HT10109,V010,GL5250,2024-09-28,1875.30,Internet Services,NET-SEP-24,Net 15
HT10110,V014,GL5230,2024-09-10,1850.00,Data Backup Services,BKP-SEP24,Net 30
HT10111,V015,GL5630,2024-09-12,1375.25,Printing Services,PRINT-0924,Net 15
HT10112,V016,GL7130,2024-09-14,985.50,Courier Services,COUR-SEP24,Net 15
HT10113,V017,GL5520,2024-09-15,345.00,Document Destruction Services,SHRED-0924,Net 30
HT10114,V019,GL4520,2024-09-20,1250.00,Landscaping Maintenance,LAND-SEP24,Net 30
HT10115,V020,GL6330,2024-09-15,2750.00,Employee Benefits Administration,BEN-SEP24,Net 45
HT10116,V022,GL5210,2024-09-21,3250.00,Cloud Infrastructure Services,CLOUD-0924,Net 30
HT10117,V023,GL6530,2024-09-24,3500.00,Recruitment Services - IT Specialist,REC-0924-01,Net 45
HT10118,V024,GL6300,2024-09-30,6500.00,Quality Testing Services - Q3,QA-Q324,Net 30
HT10119,V025,GL4520,2024-09-10,2100.00,Building Management System,BMS-SEP24,Net 30
HT10120,V026,GL6410,2024-09-25,8500.00,Executive Training Program - Q3,TRAIN-Q324,Net 45
HT10121,V027,GL5120,2024-09-12,1750.00,Renewable Energy Services,RENW-SEP24,Net 21
HT10122,V028,GL5620,2024-09-14,875.00,Coffee and Beverage Service,COF-SEP24,Net 15
HT10123,V029,GL4530,2024-09-16,1950.00,Security Monitoring Services,SEC-SEP24,Net 30
HT10124,V030,GL5220,2024-09-18,2850.00,Network Management Services,NET-SEP24,Net 15
HT10125,V004,GL6120,2024-09-23,3750.00,Legal Services - Contract Amendments,LS-2409-01,Net 45
HT10126,V001,GL4500,2024-10-15,4250.00,Monthly Office Lease,INV-LEASE-1024,Net 30
HT10127,V002,GL5200,2024-10-17,3950.75,IT Managed Services,MSP-2024-10,Net 15
HT10128,V003,GL5300,2024-10-20,1250.00,Accounting Software Subscription,ACCT-SUB-1024,Net 30
HT10129,V004,GL6100,2024-10-19,3780.00,Legal Services - Contract Review,LS-2410-01,Net 45
HT10130,V005,GL5100,2024-10-22,4425.60,Utilities - Electricity,ELEC-10-2024,Net 21
HT10131,V006,GL5110,2024-10-22,1905.25,Utilities - Water,WATER-10-2024,Net 21
HT10132,V007,GL5400,2024-10-23,7500.00,Marketing Agency Services,MKT-OCT24,Net 30
HT10133,V008,GL5500,2024-10-25,2340.00,Cleaning Services,CLEAN-1024,Net 15
HT10134,V010,GL5250,2024-10-28,1875.30,Internet Services,NET-OCT-24,Net 15
HT10135,V014,GL5230,2024-10-10,1850.00,Data Backup Services,BKP-OCT24,Net 30
HT10136,V015,GL5630,2024-10-12,1625.75,Printing Services,PRINT-1024,Net 15
HT10137,V016,GL7130,2024-10-14,1120.50,Courier Services,COUR-OCT24,Net 15
HT10138,V017,GL5520,2024-10-15,345.00,Document Destruction Services,SHRED-1024,Net 30
HT10139,V018,GL7220,2024-10-21,2350.00,Catering for Annual Planning Meeting,CATER-1021,Net 15
HT10140,V019,GL4520,2024-10-20,1250.00,Landscaping Maintenance,LAND-OCT24,Net 30
HT10141,V020,GL6330,2024-10-15,2750.00,Employee Benefits Administration,BEN-OCT24,Net 45
HT10142,V021,GL5710,2024-10-17,1875.00,Office Furniture Maintenance - Q4,FURN-Q424,Net 30
HT10143,V022,GL5210,2024-10-21,3250.00,Cloud Infrastructure Services,CLOUD-1024,Net 30
HT10144,V025,GL4520,2024-10-10,2100.00,Building Management System,BMS-OCT24,Net 30
HT10145,V027,GL5120,2024-10-12,1750.00,Renewable Energy Services,RENW-OCT24,Net 21
HT10146,V028,GL5620,2024-10-14,875.00,Coffee and Beverage Service,COF-OCT24,Net 15
HT10147,V029,GL4530,2024-10-16,1950.00,Security Monitoring Services,SEC-OCT24,Net 30
HT10148,V030,GL5220,2024-10-18,2850.00,Network Management Services,NET-OCT24,Net 15
HT10149,V011,GL5600,2024-10-24,1950.00,Office Supplies,OFF-SUP-OCT24,Net 30
HT10150,V023,GL6530,2024-10-28,4150.00,Recruitment Services - Marketing Director,REC-1024-01,Net 45
HT10151,V001,GL4500,2024-11-15,4250.00,Monthly Office Lease,INV-LEASE-1124,Net 30
HT10152,V002,GL5200,2024-11-18,3950.75,IT Managed Services,MSP-2024-11,Net 15
HT10153,V003,GL5300,2024-11-19,1250.00,Accounting Software Subscription,ACCT-SUB-1124,Net 30
HT10154,V005,GL5100,2024-11-22,4530.40,Utilities - Electricity,ELEC-11-2024,Net 21
HT10155,V006,GL5110,2024-11-22,1920.75,Utilities - Water,WATER-11-2024,Net 21
HT10156,V007,GL5400,2024-11-23,7500.00,Marketing Agency Services,MKT-NOV24,Net 30
HT10157,V008,GL5500,2024-11-25,2340.00,Cleaning Services,CLEAN-1124,Net 15
HT10158,V003,GL6200,2024-11-30,9500.00,Quarterly Audit Services,AUDIT-2024-3,Net 30
HT10159,V010,GL5250,2024-11-28,1875.30,Internet Services,NET-NOV-24,Net 15
HT10160,V014,GL5230,2024-11-10,1850.00,Data Backup Services,BKP-NOV24,Net 30
HT10161,V015,GL5630,2024-11-12,1480.50,Printing Services,PRINT-1124,Net 15
HT10162,V016,GL7130,2024-11-14,950.25,Courier Services,COUR-NOV24,Net 15
HT10163,V017,GL5520,2024-11-15,345.00,Document Destruction Services,SHRED-1124,Net 30
HT10164,V018,GL7220,2024-11-22,2250.00,Catering for Client Appreciation Event,CATER-1122,Net 15
HT10165,V019,GL4520,2024-11-20,1250.00,Landscaping Maintenance,LAND-NOV24,Net 30
HT10166,V020,GL6330,2024-11-15,2750.00,Employee Benefits Administration,BEN-NOV24,Net 45
HT10167,V022,GL5210,2024-11-21,3250.00,Cloud Infrastructure Services,CLOUD-1124,Net 30
HT10168,V025,GL4520,2024-11-10,2100.00,Building Management System,BMS-NOV24,Net 30
HT10169,V027,GL5120,2024-11-12,1750.00,Renewable Energy Services,RENW-NOV24,Net 21
HT10170,V028,GL5620,2024-11-14,875.00,Coffee and Beverage Service,COF-NOV24,Net 15
HT10171,V029,GL4530,2024-11-16,1950.00,Security Monitoring Services,SEC-NOV24,Net 30
HT10172,V030,GL5220,2024-11-18,2850.00,Network Management Services,NET-NOV24,Net 15
HT10173,V004,GL6130,2024-11-25,4250.00,Legal Services - Compliance Review,LS-2411-01,Net 45
HT10174,V011,GL5610,2024-11-27,1250.00,Stationery Order,STAT-1124,Net 30
HT10175,V001,GL4500,2024-12-15,4250.00,Monthly Office Lease,INV-LEASE-1224,Net 30
HT10176,V002,GL5200,2024-12-18,3950.75,IT Managed Services,MSP-2024-12,Net 15
HT10177,V003,GL5300,2024-12-20,1250.00,Accounting Software Subscription,ACCT-SUB-1224,Net 30
HT10178,V004,GL6100,2024-12-21,4890.00,Legal Services - Year-end Review,LS-2412-01,Net 45
HT10179,V005,GL5100,2024-12-22,4650.20,Utilities - Electricity,ELEC-12-2024,Net 21
HT10180,V006,GL5110,2024-12-22,1950.50,Utilities - Water,WATER-12-2024,Net 21
HT10181,V007,GL5400,2024-12-23,7500.00,Marketing Agency Services,MKT-DEC24,Net 30
HT10182,V008,GL5500,2024-12-26,2340.00,Cleaning Services,CLEAN-1224,Net 15
HT10183,V011,GL5600,2024-12-27,2250.00,Office Supplies,OFF-SUP-DEC24,Net 30
HT10184,V010,GL5250,2024-12-28,1875.30,Internet Services,NET-DEC-24,Net 15
HT10185,V014,GL5230,2024-12-10,1850.00,Data Backup Services,BKP-DEC24,Net 30
HT10186,V015,GL5630,2024-12-12,1750.50,Printing Services - Year-end Reports,PRINT-1224,Net 15
HT10187,V016,GL7130,2024-12-14,1450.75,Courier Services,COUR-DEC24,Net 15
HT10188,V017,GL5520,2024-12-15,345.00,Document Destruction Services,SHRED-1224,Net 30
HT10189,V018,GL7220,2024-12-20,3750.00,Catering for Holiday Party,CATER-1220,Net 15
HT10190,V019,GL4520,2024-12-20,1250.00,Landscaping Maintenance,LAND-DEC24,Net 30
HT10191,V020,GL6330,2024-12-15,2750.00,Employee Benefits Administration,BEN-DEC24,Net 45
HT10192,V022,GL5210,2024-12-21,3250.00,Cloud Infrastructure Services,CLOUD-1224,Net 30
HT10193,V023,GL6530,2024-12-15,2850.00,Recruitment Services - Year-end Placement Fee,REC-1224-01,Net 45
HT10194,V024,GL6300,2024-12-30,6500.00,Quality Testing Services - Q4,QA-Q424,Net 30
HT10195,V025,GL4520,2024-12-10,2100.00,Building Management System,BMS-DEC24,Net 30
HT10196,V026,GL6410,2024-12-25,8500.00,Executive Training Program - Q4,TRAIN-Q424,Net 45
HT10197,V027,GL5120,2024-12-12,1750.00,Renewable Energy Services,RENW-DEC24,Net 21
HT10198,V028,GL5620,2024-12-14,875.00,Coffee and Beverage Service,COF-DEC24,Net 15
HT10199,V029,GL4530,2024-12-16,1950.00,Security Monitoring Services,SEC-DEC24,Net 30
HT10200,V030,GL5220,2024-12-18,2850.00,Network Management Services,NET-DEC24,Net 15
HT10201,V001,GL4500,2025-01-15,4500.00,Monthly Office Lease,INV-LEASE-0125,Net 30
HT10202,V002,GL5200,2025-01-18,3950.75,IT Managed Services,MSP-2025-01,Net 15
HT10203,V003,GL5300,2025-01-20,1250.00,Accounting Software Subscription,ACCT-SUB-0125,Net 30
HT10204,V005,GL5100,2025-01-22,4720.50,Utilities - Electricity,ELEC-01-2025,Net 21
HT10205,V006,GL5110,2025-01-22,1965.25,Utilities - Water,WATER-01-2025,Net 21
HT10206,V007,GL5400,2025-01-23,7500.00,Marketing Agency Services,MKT-JAN25,Net 30
HT10207,V008,GL5500,2025-01-25,2460.00,Cleaning Services,CLEAN-0125,Net 15
HT10208,V010,GL5250,2025-01-28,1950.30,Internet Services,NET-JAN-25,Net 15
HT10209,V014,GL5230,2025-01-10,1850.00,Data Backup Services,BKP-JAN25,Net 30
HT10210,V015,GL5630,2025-01-12,1450.75,Printing Services,PRINT-0125,Net 15
HT10211,V016,GL7130,2025-01-14,975.50,Courier Services,COUR-JAN25,Net 15
HT10212,V017,GL5520,2025-01-15,345.00,Document Destruction Services,SHRED-0125,Net 30
HT10213,V018,GL7220,2025-01-20,1950.00,Catering for Board Meeting,CATER-0120,Net 15
HT10214,V019,GL4520,2025-01-20,1250.00,Landscaping Maintenance,LAND-JAN25,Net 30
HT10215,V020,GL6330,2025-01-15,2750.00,Employee Benefits Administration,BEN-JAN25,Net 45
HT10216,V022,GL5210,2025-01-21,3250.00,Cloud Infrastructure Services,CLOUD-0125,Net 30
HT10217,V025,GL4520,2025-01-10,2100.00,Building Management System,BMS-JAN25,Net 30
HT10218,V027,GL5120,2025-01-12,1750.00,Renewable Energy Services,RENW-JAN25,Net 21
HT10219,V028,GL5620,2025-01-14,875.00,Coffee and Beverage Service,COF-JAN25,Net 15
HT10220,V029,GL4530,2025-01-16,1950.00,Security Monitoring Services,SEC-JAN25,Net 30
HT10221,V030,GL5220,2025-01-18,2850.00,Network Management Services,NET-JAN25,Net 15
HT10222,V004,GL6120,2025-01-25,3950.00,Legal Services - Contract Review,LS-2501-01,Net 45
HT10223,V011,GL5600,2025-01-27,1850.00,Office Supplies,OFF-SUP-JAN25,Net 30
HT10224,V001,GL4500,2025-02-15,4500.00,Monthly Office Lease,INV-LEASE-0225,Net 30
HT10225,V002,GL5200,2025-02-17,3950.75,IT Managed Services,MSP-2025-02,Net 15
HT10226,V003,GL5300,2025-02-19,1250.00,Accounting Software Subscription,ACCT-SUB-0225,Net 30
HT10227,V004,GL6100,2025-02-20,3450.00,Legal Services - Contract Review,LS-2502-01,Net 45
HT10228,V005,GL5100,2025-02-22,4680.30,Utilities - Electricity,ELEC-02-2025,Net 21
HT10229,V006,GL5110,2025-02-22,1930.75,Utilities - Water,WATER-02-2025,Net 21
HT10230,V007,GL5400,2025-02-23,7500.00,Marketing Agency Services,MKT-FEB25,Net 30
HT10231,V008,GL5500,2025-02-25,2460.00,Cleaning Services,CLEAN-0225,Net 15
HT10232,V003,GL6200,2025-02-27,9500.00,Quarterly Audit Services,AUDIT-2025-1,Net 30
HT10233,V010,GL5250,2025-02-27,1950.30,Internet Services,NET-FEB-25,Net 15
HT10234,V014,GL5230,2025-02-10,1850.00,Data Backup Services,BKP-FEB25,Net 30
HT10235,V015,GL5630,2025-02-12,1350.25,Printing Services,PRINT-0225,Net 15
HT10236,V016,GL7130,2025-02-14,920.80,Courier Services,COUR-FEB25,Net 15
HT10237,V017,GL5520,2025-02-15,345.00,Document Destruction Services,SHRED-0225,Net 30
HT10238,V019,GL4520,2025-02-20,1250.00,Landscaping Maintenance,LAND-FEB25,Net 30
HT10239,V020,GL6330,2025-02-15,2750.00,Employee Benefits Administration,BEN-FEB25,Net 45
HT10240,V021,GL5710,2025-02-17,1875.00,Office Furniture Maintenance - Q1,FURN-Q125,Net 30
HT10241,V022,GL5210,2025-02-21,3250.00,Cloud Infrastructure Services,CLOUD-0225,Net 30
HT10242,V025,GL4520,2025-02-10,2100.00,Building Management System,BMS-FEB25,Net 30
HT10243,V027,GL5120,2025-02-12,1750.00,Renewable Energy Services,RENW-FEB25,Net 21
HT10244,V028,GL5620,2025-02-14,875.00,Coffee and Beverage Service,COF-FEB25,Net 15
HT10245,V029,GL4530,2025-02-16,1950.00,Security Monitoring Services,SEC-FEB25,Net 30
HT10246,V030,GL5220,2025-02-18,2850.00,Network Management Services,NET-FEB25,Net 15
HT10247,V011,GL5610,2025-02-26,1250.00,Stationery Order,STAT-0225,Net 30
HT10248,V018,GL7220,2025-02-24,1850.00,Catering for Department Meeting,CATER-0224,Net 15
HT10249,V001,GL4500,2025-03-15,4500.00,Monthly Office Lease,INV-LEASE-0325,Net 30
HT10250,V002,GL5200,2025-03-18,3950.75,IT Managed Services,MSP-2025-03,Net 15
HT10251,V003,GL5300,2025-03-20,1250.00,Accounting Software Subscription,ACCT-SUB-0325,Net 30
HT10252,V005,GL5100,2025-03-22,4580.40,Utilities - Electricity,ELEC-03-2025,Net 21
HT10253,V006,GL5110,2025-03-22,1945.50,Utilities - Water,WATER-03-2025,Net 21
HT10254,V007,GL5400,2025-03-23,7500.00,Marketing Agency Services,MKT-MAR25,Net 30
HT10255,V008,GL5500,2025-03-25,2460.00,Cleaning Services,CLEAN-0325,Net 15
HT10256,V011,GL5600,2025-03-26,1950.00,Office Supplies,OFF-SUP-MAR25,Net 30
HT10257,V010,GL5250,2025-03-28,1950.30,Internet Services,NET-MAR-25,Net 15
HT10258,V013,GL5800,2025-03-31,12500.00,Annual Software License Renewal,SW-LIC-2025,Net 45
HT10259,V014,GL5230,2025-03-10,1850.00,Data Backup Services,BKP-MAR25,Net 30
HT10260,V015,GL5630,2025-03-12,1550.80,Printing Services,PRINT-0325,Net 15
HT10261,V016,GL7130,2025-03-14,1050.25,Courier Services,COUR-MAR25,Net 15
HT10262,V017,GL5520,2025-03-15,345.00,Document Destruction Services,SHRED-0325,Net 30
HT10263,V019,GL4520,2025-03-20,1250.00,Landscaping Maintenance,LAND-MAR25,Net 30
HT10264,V020,GL6330,2025-03-15,2750.00,Employee Benefits Administration,BEN-MAR25,Net 45
HT10265,V022,GL5210,2025-03-21,3250.00,Cloud Infrastructure Services,CLOUD-0325,Net 30
HT10266,V023,GL6530,2025-03-24,3250.00,Recruitment Services - Sales Representative,REC-0325-01,Net 45
HT10267,V024,GL6300,2025-03-30,6500.00,Quality Testing Services - Q1,QA-Q125,Net 30
HT10268,V025,GL4520,2025-03-10,2100.00,Building Management System,BMS-MAR25,Net 30
HT10269,V026,GL6410,2025-03-25,8500.00,Executive Training Program - Q1,TRAIN-Q125,Net 45
HT10270,V027,GL5120,2025-03-12,1750.00,Renewable Energy Services,RENW-MAR25,Net 21
HT10271,V028,GL5620,2025-03-14,875.00,Coffee and Beverage Service,COF-MAR25,Net 15
HT10272,V029,GL4530,2025-03-16,1950.00,Security Monitoring Services,SEC-MAR25,Net 30
HT10273,V030,GL5220,2025-03-18,2850.00,Network Management Services,NET-MAR25,Net 15
HT10274,V004,GL6130,2025-03-27,4150.00,Legal Services - Compliance Review,LS-2503-01,Net 45
HT10275,V018,GL7220,2025-03-31,2350.00,Catering for Quarterly Review Meeting,CATER-0331,Net 15
